#TYPE System.Management.Automation.PSCustomObject
"DisplayName","DisplayVersion","DisplayIcon","InstallLocation","UninstallString","NoModify","NoRepair","EstimatedSize","VersionMajor","VersionMinor","Publisher","PSPath","PSParentPath","PSChildName","PSProvider"
"7-Zip 19.00 (x64)","19.00","C:\Program Files\7-Zip\7zFM.exe","C:\Program Files\7-Zip\","C:\Program Files\7-Zip\Uninstall.exe","1","1","5082","19","0","Igor Pavlov","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\7-Zip","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall","7-Zip","Microsoft.PowerShell.Core\Registry"
"Docker Desktop","2.2.0.5","C:\Program Files\Docker\Docker\Docker Desktop Installer.exe","C:\Program Files\Docker\Docker","""C:\Program Files\Docker\Docker\Docker Desktop Installer.exe"" uninstall","1","1",,,,"Docker Inc.","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Docker Desktop","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall","Docker Desktop","Microsoft.PowerShell.Core\Registry"
"Git","2.33.1","C:\Program Files\Git\mingw64\share\git\git-for-windows.ico","C:\Program Files\Git\","""C:\Program Files\Git\unins000.exe""","1","1","267273","2","33","The Git Development Community","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Git_is1","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall","Git_is1","Microsoft.PowerShell.Core\Registry"
"Google Cloud SDK",,"""C:\Program Files (x86)\Google\Cloud SDK\supercloud-16x16.ico""","""C:\Program Files (x86)\Google\Cloud SDK""","""C:\Program Files (x86)\Google\Cloud SDK\uninstaller.exe""","1","1",,,,"Google Inc.","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Google Cloud SDK","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall","Google Cloud SDK","Microsoft.PowerShell.Core\Registry"
"Microsoft Azure Compute Emulator - v2.9.7","2.9.8999.43","C:\PROGRA~1\MICROS~3\Azure\Emulator\CSMONI~1.EXE,0","","msiexec /x{04ca054c-2f40-44b0-8610-8d51ec9444fe}","0",,,"2","9","Microsoft Corporation","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft Azure Compute Emulator - v2.9.7","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall","Microsoft Azure Compute Emulator - v2.9.7","Microsoft.PowerShell.Core\Registry"
"Microsoft SQL Server 2017 (64-bit)",,,,,,,,,,,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft SQL Server 14","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall","Microsoft SQL Server 14","Microsoft.PowerShell.Core\Registry"
"Microsoft SQL Server 2019 (64-bit)",,,,,,,,,,,"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft SQL Server 15","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall","Microsoft SQL Server 15","Microsoft.PowerShell.Core\Registry"
"Microsoft SQL Server 2017 (64-bit)",,"""C:\Program Files\Microsoft SQL Server\140\Setup Bootstrap\SQL2017\x64\SetupARP.exe""",,"""C:\Program Files\Microsoft SQL Server\140\Setup Bootstrap\SQL2017\x64\SetupARP.exe""",,,,,,"Microsoft Corporation","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft SQL Server SQL2017","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall","Microsoft SQL Server SQL2017","Microsoft.PowerShell.Core\Registry"
"Microsoft SQL Server 2019 (64-bit)",,"""C:\Program Files\Microsoft SQL Server\150\Setup Bootstrap\SQL2019\x64\SetupARP.exe""",,"""C:\Program Files\Microsoft SQL Server\150\Setup Bootstrap\SQL2019\x64\SetupARP.exe""",,,,,,"Microsoft Corporation","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft SQL Server SQL2019","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall","Microsoft SQL Server SQL2019","Microsoft.PowerShell.Core\Registry"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.50903","msiexec.exe","c:\Program Files\Common Files\Microsoft Shared\VSTO\10.0\","c:\Program Files\Common Files\Microsoft Shared\VSTO\10.0\Microsoft Visual Studio 2010 Tools for Office Runtime (x64)\install.exe","0",,,"4",,"Microsoft Corporation","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall","Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","Microsoft.PowerShell.Core\Registry"
